,f,t,x
194,7.5272,1.94,1.94
195,7.6049999999999995,1.95,1.95
196,7.683199999999999,1.96,1.96
197,7.7618,1.97,1.97
198,7.8408,1.98,1.98
199,7.9202,1.99,1.99
200,8.0,2.0,2.0
201,8.080200000000001,2.0100000000000002,2.0100000000000002
202,8.1608,2.02,2.02
203,8.241800000000001,2.0300000000000002,2.0300000000000002
204,8.3232,2.04,2.04
205,8.405,2.05,2.05
206,8.4872,2.06,2.06
207,8.569799999999999,2.07,2.07
208,8.652800000000001,2.08,2.08
209,8.736199999999998,2.09,2.09
210,8.82,2.1,2.1
211,8.9042,2.11,2.11
212,8.988800000000001,2.12,2.12
213,9.073799999999999,2.13,2.13
214,9.1592,2.14,2.14
215,9.245,2.15,2.15
216,9.3312,2.16,2.16
217,9.4178,2.17,2.17
218,9.504800000000001,2.18,2.18
219,9.5922,2.19,2.19
220,9.680000000000001,2.2,2.2
221,9.7682,2.21,2.21
222,9.856800000000002,2.22,2.22
223,9.9458,2.23,2.23
224,10.035200000000001,2.24,2.24
225,10.125,2.25,2.25
226,10.215200000000003,2.2600000000000002,2.2600000000000002
227,10.3058,2.27,2.27
228,10.396800000000002,2.2800000000000002,2.2800000000000002
229,10.4882,2.29,2.29
230,10.580000000000002,2.3000000000000003,2.3000000000000003
231,10.6722,2.31,2.31
232,10.7648,2.32,2.32
233,10.857800000000001,2.33,2.33
234,10.951199999999998,2.34,2.34
235,11.045000000000002,2.35,2.35
236,11.139199999999999,2.36,2.36
237,11.2338,2.37,2.37
238,11.3288,2.38,2.38
239,11.4242,2.39,2.39
240,11.52,2.4,2.4
241,11.616200000000001,2.41,2.41
242,11.7128,2.42,2.42
243,11.809800000000001,2.43,2.43
244,11.9072,2.44,2.44
245,12.005000000000003,2.45,2.45
246,12.1032,2.46,2.46
247,12.201800000000002,2.47,2.47
248,12.3008,2.48,2.48
249,12.400200000000002,2.49,2.49
250,12.5,2.5,2.5
251,12.600200000000003,2.5100000000000002,2.5100000000000002
252,12.700800000000001,2.52,2.52
253,12.801800000000002,2.5300000000000002,2.5300000000000002
254,12.9032,2.54,2.54
255,13.005000000000003,2.5500000000000003,2.5500000000000003
256,13.1072,2.56,2.56
257,13.209799999999998,2.57,2.57
258,13.312800000000001,2.58,2.58
259,13.416199999999998,2.59,2.59
260,13.520000000000001,2.6,2.6
261,13.624199999999998,2.61,2.61
262,13.728800000000001,2.62,2.62
263,13.833799999999998,2.63,2.63
264,13.939200000000001,2.64,2.64
265,14.045,2.65,2.65
266,14.151200000000001,2.66,2.66
267,14.2578,2.67,2.67
268,14.364800000000002,2.68,2.68
269,14.472199999999999,2.69,2.69
270,14.580000000000002,2.7,2.7
271,14.6882,2.71,2.71
272,14.796800000000003,2.72,2.72
273,14.9058,2.73,2.73
274,15.015200000000002,2.74,2.74
275,15.125,2.75,2.75
276,15.235200000000003,2.7600000000000002,2.7600000000000002
277,15.3458,2.77,2.77
278,15.456800000000003,2.7800000000000002,2.7800000000000002
279,15.568200000000001,2.79,2.79
280,15.680000000000003,2.8000000000000003,2.8000000000000003
281,15.792200000000001,2.81,2.81
282,15.904799999999998,2.82,2.82
283,16.0178,2.83,2.83
284,16.1312,2.84,2.84
285,16.245,2.85,2.85
286,16.359199999999998,2.86,2.86
287,16.4738,2.87,2.87
288,16.5888,2.88,2.88
289,16.7042,2.89,2.89
290,16.82,2.9,2.9
291,16.936200000000003,2.91,2.91
292,17.052799999999998,2.92,2.92
293,17.169800000000002,2.93,2.93
294,17.2872,2.94,2.94
295,17.405,2.95,2.95
296,17.5232,2.96,2.96
297,17.641800000000003,2.97,2.97
298,17.7608,2.98,2.98
299,17.880200000000002,2.99,2.99
300,18.0,3.0,3.0
301,18.120200000000004,3.0100000000000002,3.0100000000000002
302,18.2408,3.02,3.02
303,18.361800000000002,3.0300000000000002,3.0300000000000002
304,18.4832,3.04,3.04
305,18.605000000000004,3.0500000000000003,3.0500000000000003
306,18.7272,3.06,3.06
307,18.849800000000002,3.0700000000000003,3.0700000000000003
308,18.9728,3.08,3.08
309,19.0962,3.09,3.09
310,19.220000000000002,3.1,3.1
311,19.344199999999997,3.11,3.11
312,19.4688,3.12,3.12
313,19.593799999999998,3.13,3.13
314,19.7192,3.14,3.14
315,19.845,3.15,3.15
316,19.971200000000003,3.16,3.16
317,20.0978,3.17,3.17
318,20.224800000000002,3.18,3.18
319,20.3522,3.19,3.19
320,20.480000000000004,3.2,3.2
321,20.6082,3.21,3.21
322,20.736800000000002,3.22,3.22
323,20.8658,3.23,3.23
324,20.995200000000004,3.24,3.24
325,21.125,3.25,3.25
326,21.255200000000002,3.2600000000000002,3.2600000000000002
327,21.3858,3.27,3.27
328,21.516800000000003,3.2800000000000002,3.2800000000000002
329,21.6482,3.29,3.29
330,21.780000000000005,3.3000000000000003,3.3000000000000003
331,21.912200000000002,3.31,3.31
332,22.044800000000002,3.3200000000000003,3.3200000000000003
333,22.1778,3.33,3.33
334,22.3112,3.34,3.34
335,22.445,3.35,3.35
336,22.579199999999997,3.36,3.36
337,22.713800000000003,3.37,3.37
338,22.848799999999997,3.38,3.38
339,22.9842,3.39,3.39
340,23.119999999999997,3.4,3.4
341,23.256200000000003,3.41,3.41
342,23.392799999999998,3.42,3.42
343,23.5298,3.43,3.43
344,23.667199999999998,3.44,3.44
345,23.805000000000003,3.45,3.45
346,23.9432,3.46,3.46
347,24.0818,3.47,3.47
348,24.2208,3.48,3.48
349,24.360200000000003,3.49,3.49
350,24.5,3.5,3.5
351,24.640200000000004,3.5100000000000002,3.5100000000000002
352,24.7808,3.52,3.52
353,24.921800000000005,3.5300000000000002,3.5300000000000002
354,25.063200000000002,3.54,3.54
355,25.205000000000005,3.5500000000000003,3.5500000000000003
356,25.3472,3.56,3.56
357,25.489800000000002,3.5700000000000003,3.5700000000000003
358,25.6328,3.58,3.58
359,25.7762,3.59,3.59
360,25.92,3.6,3.6
361,26.0642,3.61,3.61
362,26.2088,3.62,3.62
363,26.3538,3.63,3.63
364,26.499200000000002,3.64,3.64
365,26.645,3.65,3.65
366,26.791200000000003,3.66,3.66
367,26.9378,3.67,3.67
368,27.0848,3.68,3.68
369,27.2322,3.69,3.69
370,27.380000000000003,3.7,3.7
371,27.5282,3.71,3.71
372,27.676800000000004,3.72,3.72
373,27.8258,3.73,3.73
374,27.975200000000005,3.74,3.74
375,28.125,3.75,3.75
376,28.275200000000005,3.7600000000000002,3.7600000000000002
377,28.4258,3.77,3.77
378,28.576800000000002,3.7800000000000002,3.7800000000000002
379,28.7282,3.79,3.79
380,28.880000000000003,3.8000000000000003,3.8000000000000003
381,29.0322,3.81,3.81
382,29.184800000000003,3.8200000000000003,3.8200000000000003
383,29.3378,3.83,3.83
384,29.4912,3.84,3.84
385,29.645000000000003,3.85,3.85
386,29.7992,3.86,3.86
387,29.9538,3.87,3.87
388,30.1088,3.88,3.88
389,30.264200000000002,3.89,3.89
390,30.419999999999998,3.9,3.9
391,30.576200000000004,3.91,3.91
392,30.732799999999997,3.92,3.92
393,30.8898,3.93,3.93
394,31.0472,3.94,3.94
395,31.205000000000002,3.95,3.95
396,31.3632,3.96,3.96
397,31.521800000000002,3.97,3.97
398,31.6808,3.98,3.98
399,31.840200000000003,3.99,3.99
400,32.0,4.0,4.0
401,32.160199999999996,4.01,4.01
402,32.320800000000006,4.0200000000000005,4.0200000000000005
403,32.48180000000001,4.03,4.03
404,32.6432,4.04,4.04
405,32.805,4.05,4.05
406,32.967200000000005,4.0600000000000005,4.0600000000000005
407,33.1298,4.07,4.07
408,33.2928,4.08,4.08
409,33.456199999999995,4.09,4.09
410,33.62,4.1,4.1
411,33.784200000000006,4.11,4.11
412,33.9488,4.12,4.12
413,34.1138,4.13,4.13
414,34.279199999999996,4.14,4.14
415,34.44500000000001,4.15,4.15
416,34.611200000000004,4.16,4.16
417,34.7778,4.17,4.17
418,34.944799999999994,4.18,4.18
419,35.11220000000001,4.19,4.19
420,35.28,4.2,4.2
421,35.4482,4.21,4.21
422,35.6168,4.22,4.22
423,35.78580000000001,4.23,4.23
424,35.955200000000005,4.24,4.24
425,36.125,4.25,4.25
426,36.295199999999994,4.26,4.26
427,36.46580000000001,4.2700000000000005,4.2700000000000005
428,36.6368,4.28,4.28
429,36.8082,4.29,4.29
430,36.98,4.3,4.3
431,37.15220000000001,4.3100000000000005,4.3100000000000005
432,37.3248,4.32,4.32
433,37.4978,4.33,4.33
434,37.6712,4.34,4.34
435,37.845000000000006,4.3500000000000005,4.3500000000000005
436,38.019200000000005,4.36,4.36
437,38.1938,4.37,4.37
438,38.3688,4.38,4.38
439,38.5442,4.39,4.39
440,38.720000000000006,4.4,4.4
441,38.8962,4.41,4.41
442,39.0728,4.42,4.42
443,39.24979999999999,4.43,4.43
444,39.427200000000006,4.44,4.44
445,39.605000000000004,4.45,4.45
446,39.7832,4.46,4.46
447,39.9618,4.47,4.47
448,40.140800000000006,4.48,4.48
449,40.32020000000001,4.49,4.49
450,40.5,4.5,4.5
451,40.6802,4.51,4.51
452,40.86080000000001,4.5200000000000005,4.5200000000000005
453,41.0418,4.53,4.53
454,41.2232,4.54,4.54
455,41.404999999999994,4.55,4.55
456,41.58720000000001,4.5600000000000005,4.5600000000000005
457,41.769800000000004,4.57,4.57
458,41.9528,4.58,4.58
459,42.136199999999995,4.59,4.59
460,42.32000000000001,4.6000000000000005,4.6000000000000005
461,42.504200000000004,4.61,4.61
462,42.6888,4.62,4.62
463,42.873799999999996,4.63,4.63
464,43.0592,4.64,4.64
465,43.245000000000005,4.65,4.65
466,43.431200000000004,4.66,4.66
467,43.617799999999995,4.67,4.67
468,43.80479999999999,4.68,4.68
469,43.992200000000004,4.69,4.69
470,44.18000000000001,4.7,4.7
471,44.3682,4.71,4.71
472,44.556799999999996,4.72,4.72
473,44.74580000000001,4.73,4.73
474,44.9352,4.74,4.74
475,45.125,4.75,4.75
476,45.3152,4.76,4.76
477,45.50580000000001,4.7700000000000005,4.7700000000000005
478,45.6968,4.78,4.78
479,45.8882,4.79,4.79
480,46.08,4.8,4.8
481,46.27220000000001,4.8100000000000005,4.8100000000000005
482,46.464800000000004,4.82,4.82
483,46.6578,4.83,4.83
484,46.8512,4.84,4.84
485,47.04500000000001,4.8500000000000005,4.8500000000000005
486,47.239200000000004,4.86,4.86
487,47.433800000000005,4.87,4.87
488,47.6288,4.88,4.88
489,47.82419999999999,4.89,4.89
490,48.02000000000001,4.9,4.9
491,48.2162,4.91,4.91
492,48.4128,4.92,4.92
493,48.60979999999999,4.93,4.93
494,48.80720000000001,4.94,4.94
495,49.005,4.95,4.95
496,49.2032,4.96,4.96
497,49.401799999999994,4.97,4.97
498,49.60080000000001,4.98,4.98
499,49.800200000000004,4.99,4.99
